weight,age,height
62,28,172.72
59,36,167.64
61,34,165.1
65,27,175.26
62,45,172.72
50,27,160.02
53,65,160.02
51,33,160.02
54,26,167.64
53,32,165.1
63,30,170.18
77,35,172.72
64,26,165.1
52,28,160.02
65,33,165.1
63,30,167.64
54,21,167.64
63,27,172.72
63,30,167.64
54,20,167.64
55,32,154.94
55,37,160.02
55,50,165.1
50,43,160.02
74,29,177.8
64,32,160.02
58,29,167.64
54,47,165.1
58,31,154.94
65,27,172.72
47,43,157.48
61,27,165.1
58,29,172.72
86,48,172.72
68,36,162.56
65,27,170.18
65,34,170.18
54,40,157.48
52,45,154.94
52,30,170.18
58,52,162.56
78,37,175.26
61,34,172.72
49,24,167.64
61,28,162.56
64,34,162.56
63,25,167.64
56,32,157.48
50,27,170.18
77,29,172.72
58,32,165.1
65,33,165.1
61,33,167.64
56,36,175.26
81,27,165.1
49,30,162.56
58,29,162.56
72,28,162.56
63,28,172.72
58,33,157.48
65,29,165.1
60,27,167.64
68,28,167.64
70,32,175.26
63,36,157.48
58,36,165.1
79,49,167.64
49,40,157.48
56,22,157.48
59,35,175.26
50,32,154.94
53,33,162.56
56,32,165.1
113,27,167.64
88,30,162.56
68,42,165.1
74,53,157.48
104,34,154.94
58,33,162.56
61,30,172.72
61,69,154.94
54,34,160.02
65,36,167.64
70,35,167.64
54,31,162.56
52,31,172.72
63,33,167.64
70,23,147.32
79,32,170.18
49,17,167.64
57,37,157.48
95,43,172.72
72,50,170.18
58,24,170.18
74,31,170.18
54,36,170.18
77,30,167.64
63,53,167.64
99,44,172.72
62,30,177.8
81,33,185.42
56,32,162.56
55,26,170.18
61,30,170.18
65,27,167.64
61,31,170.18
65,33,167.64
58,29,162.56
72,44,175.26
63,27,162.56
65,47,170.18
63,31,175.26
80,41,170.18
63,23,162.56
58,23,180.34
71,23,170.18
53,29,160.02
81,59,162.56
83,30,162.56
63,34,172.72
54,29,157.48
95,30,160.02
56,28,165.1
61,33,165.1
74,31,157.48
70,26,154.94
72,52,170.18
62,29,162.56
59,39,160.02
52,27,157.48
90,59,162.56
72,20,167.64
63,30,165.1
63,37,172.72
47,28,154.94
58,29,157.48
65,33,167.64
62,30,157.48
62,24,175.26
63,33,157.48
68,42,167.64
59,31,162.56
56,30,172.72
58,33,160.02
58,31,157.48
65,29,172.72
65,29,180.34
68,29,162.56
65,32,172.72
77,43,172.72
53,28,157.48
58,36,175.26
54,37,152.4
53,42,167.64
54,41,162.56
66,41,170.18
52,42,165.1
53,32,170.18
58,53,160.02
56,33,162.56
56,33,170.18
56,52,162.56
63,31,172.72
65,52,152.4
58,38,167.64
63,39,175.26
54,23,162.56
58,29,167.64
70,34,170.18
58,30,167.64
46,28,152.4
58,28,157.48
79,51,162.56
54,29,165.1
61,32,162.56
54,33,154.94
58,26,170.18
72,30,177.8
58,46,167.64
56,26,165.1
62,52,162.56
61,38,154.94
63,32,172.72
61,31,162.56
64,41,162.56
50,30,154.94
54,34,162.56
56,23,175.26
61,31,175.26
52,39,167.64
65,30,175.26
65,38,160.02
50,52,160.02
53,28,152.4
68,46,162.56
52,31,157.48
95,24,175.26
65,34,177.8
58,32,160.02
61,30,160.02
73,35,167.64
59,36,162.56
74,46,167.64
90,31,165.1
70,45,157.48
65,53,162.56
53,32,165.1
58,33,160.02
49,34,160.02
50,28,165.1
53,43,167.64
54,27,165.1
77,36,167.64
54,27,157.48
65,50,172.72
65,26,172.72
68,37,170.18
78,29,167.64
58,24,180.34
58,31,157.48
68,30,170.18
70,46,165.1
65,26,175.26
48,40,152.4
54,27,157.48
55,27,170.18
55,41,157.48
61,47,160.02
61,30,172.72
65,31,175.26
60,28,170.18
58,35,167.64
68,30,162.56
112,38,175.26
61,45,162.56
54,34,165.1
58,45,172.72
68,30,167.64
58,31,162.56
58,30,170.18
79,27,177.8
56,38,170.18
49,39,157.48
69,40,175.26
61,43,167.64
69,31,172.72
72,36,175.26
61,37,160.02
54,23,167.64
60,35,170.18
50,48,162.56
66,49,162.56
58,50,162.56
61,33,162.56
52,29,167.64
64,34,175.26
54,51,167.64
52,22,154.94
68,49,180.34
56,32,167.64
70,34,160.02
55,38,162.56
70,24,162.56
77,28,160.02
56,39,167.64
72,40,175.26
83,50,165.1
68,29,160.02
56,42,165.1
59,37,154.94
77,31,175.26
79,30,177.8
77,34,162.56
54,34,165.1
61,33,177.8
63,33,165.1
61,32,157.48
46,31,152.4
81,30,170.18
58,35,162.56
52,30,165.1
61,26,170.18
53,37,170.18
61,51,167.64
54,32,165.1
58,33,167.64
65,28,165.1
81,39,180.34
54,30,165.1
74,36,170.18
56,32,165.1
52,28,167.64
56,34,180.34
81,33,162.56
63,29,170.18
54,32,160.02
61,34,162.56
61,34,165.1
65,37,160.02
50,32,162.56
58,35,170.18
58,34,175.26
52,47,160.02
58,53,160.02
90,40,170.18
70,23,180.34
65,29,162.56
55,26,162.56
58,25,167.64
70,36,175.26
52,40,172.72
58,27,162.56
68,41,162.56
57,28,165.1
65,36,165.1
54,25,152.4
58,38,172.72
63,29,162.56
77,34,167.64
65,29,170.18
62,41,172.72
58,43,162.56
77,31,172.72
65,40,177.8
68,28,175.26
64,32,175.26
52,34,167.64
58,40,170.18
61,32,172.72
63,38,172.72
68,28,167.64
56,34,160.02
52,24,180.34
61,32,175.26
72,20,165.1
53,38,160.02
72,32,162.56
63,30,172.72
56,45,165.1
65,25,152.4
54,43,160.02
52,28,160.02
81,36,162.56
84,31,165.1
61,46,177.8
45,30,162.56
61,45,162.56
54,36,157.48
57,44,157.48
56,48,165.1
58,43,170.18
52,28,162.56
56,30,165.1
52,29,154.94
52,35,160.02
58,32,175.26
58,29,152.4
79,30,162.56
70,44,170.18
56,41,162.56
55,34,154.94
63,27,170.18
58,27,157.48
55,29,162.56
72,35,165.1
70,31,167.64
52,40,157.48
58,32,160.02
58,29,160.02
54,31,162.56
55,26,162.56
68,31,167.64
53,21,157.48
53,30,160.02
58,53,170.18
61,26,160.02
63,34,170.18
72,45,170.18
62,54,167.64
65,37,172.72
54,35,157.48
54,28,157.48
61,29,165.1
61,27,162.56
70,36,172.72
65,25,142.24
81,25,172.72
65,39,167.64
65,24,167.64
53,49,162.56
46,59,157.48
54,32,170.18
56,43,172.72
68,30,152.4
68,30,165.1
61,34,162.56
61,23,172.72
61,39,170.18
61,25,165.1
72,33,172.72
54,39,157.48
68,33,182.88
64,,172.72
54,27,165.1
63,35,167.64
68,29,160.02
58,47,154.94
58,34,165.1
61,35,170.18
70,42,160.02
58,25,175.26
77,39,175.26
73,38,177.8
65,33,167.64
58,34,162.56
58,28,152.4
65,24,170.18
65,50,162.56
97,43,162.56
55,28,157.48
54,48,162.56
65,29,172.72
56,62,162.56
50,29,152.4
63,49,170.18
63,35,177.8
68,40,175.26
53,58,172.72
53,32,154.94
68,29,172.72
65,40,170.18
56,36,167.64
53,33,154.94
58,28,157.48
65,38,180.34
55,35,167.64
52,35,167.64
74,42,167.64
54,31,165.1
62,38,172.72
52,30,167.64
79,51,167.64
75,38,182.88
65,34,170.18
65,36,157.48
58,39,167.64
68,34,167.64
70,28,177.8
70,37,167.64
45,25,157.48
65,25,167.64
86,53,160.02
50,43,152.4
58,49,157.48
53,29,167.64
43,44,157.48
58,32,162.56
54,27,172.72
72,30,157.48
52,28,154.94
61,29,162.56
68,34,170.18
58,42,170.18
48,30,160.02
56,31,152.4
54,27,165.1
61,25,162.56
70,33,160.02
62,33,167.64
56,32,165.1
56,34,162.56
47,28,160.02
68,37,167.64
58,37,162.56
61,41,160.02
56,29,167.64
56,33,165.1
81,38,187.96
56,25,165.1
61,29,165.1
65,37,172.72
72,29,172.72
63,34,175.26
68,38,160.02
46,31,157.48
58,40,162.56
64,27,165.1
65,19,167.64
49,31,162.56
55,43,170.18
70,31,167.64
72,27,167.64
56,30,160.02
58,26,162.56
62,31,167.64
68,30,167.64
63,28,172.72
58,27,160.02
63,38,160.02
56,26,162.56
